,date,counts
0,2020-03-11,141
1,2020-03-12,327
2,2020-03-13,318
3,2020-03-14,241
4,2020-03-15,258
5,2020-03-16,248
6,2020-03-17,304
7,2020-03-18,224
8,2020-03-19,181
9,2020-03-20,203
10,2020-03-21,183
11,2020-03-22,182
12,2020-03-23,134
13,2020-03-24,151
14,2020-03-25,166
15,2020-03-26,168
16,2020-03-27,171
17,2020-03-28,127
18,2020-03-29,156
19,2020-03-30,130
20,2020-03-31,126
21,2020-04-01,124
22,2020-04-02,138
23,2020-04-03,119
24,2020-04-04,124
25,2020-04-05,109
26,2020-04-06,138
27,2020-04-07,95
28,2020-04-08,113
29,2020-04-09,92
30,2020-04-10,108
31,2020-04-11,127
32,2020-04-12,139
33,2020-04-13,120
34,2020-04-14,92
35,2020-04-15,130
36,2020-04-16,117
37,2020-04-17,105
38,2020-04-18,106
39,2020-04-19,103
40,2020-04-20,85
41,2020-04-21,86
42,2020-04-22,106
43,2020-04-23,88
44,2020-04-24,139
45,2020-04-25,108
46,2020-04-26,103
47,2020-04-27,106
48,2020-04-28,99
49,2020-04-29,82
50,2020-04-30,99
51,2020-05-01,125
52,2020-05-02,165
53,2020-05-03,142
54,2020-05-04,112
55,2020-05-05,102
56,2020-05-06,184
57,2020-05-07,92
