,date,counts
0,20200311,141
1,20200312,327
2,20200313,318
3,20200314,241
4,20200315,258
5,20200316,248
6,20200317,304
7,20200318,224
8,20200319,181
9,20200320,203
10,20200321,183
11,20200322,182
12,20200323,134
13,20200324,151
14,20200325,166
15,20200326,168
16,20200327,171
17,20200328,127
18,20200329,156
19,20200330,130
20,20200331,126
21,20200401,124
22,20200402,138
23,20200403,119
24,20200404,124
25,20200405,109
26,20200406,138
27,20200407,95
28,20200408,113
29,20200409,92
30,20200410,108
31,20200411,127
32,20200412,139
33,20200413,120
34,20200414,92
35,20200415,130
36,20200416,117
37,20200417,105
38,20200418,106
39,20200419,103
40,20200420,85
41,20200421,86
42,20200422,106
43,20200423,88
44,20200424,139
45,20200425,108
46,20200426,103
47,20200427,106
48,20200428,99
49,20200429,82
50,20200430,99
51,20200501,125
52,20200502,165
53,20200503,142
54,20200504,112
55,20200505,102
56,20200506,184
57,20200507,92
